COMMENT,LABEL
Thanh Tú  ái chà suỵt suỵt,neutral
Minh Vương ý t là cái loa ở phòng bây giờ thuộc quyền sở hữu của t ,neutral
Nguyễn Minh Trí sụyt khẽ thôi ,positive
Mỹ Liên thời đó nay còn đâu ,positive
Anh Du diz đợi đỉ Thựn vô minh oan cho tao,negative
Anh Thu Dang  mình khá khẩm hơn bạn a it bit,positive
 ngta thích bạn đó D  nghĩ xem đặt tên con như nào cho hay là ừa rồi ấy ,positive
 ké với Mình cũng sợ TD ,neutral
Tran Quoc Thinh hả cái dạ dễ sợ,positive
Trần Quốc Phương m gạ chịch người ta chứ tâm sự gì,negative
Lạnh lùng chỉ là bề ngoài thôi bạn à,neutral
NC Khải Hưng ai bóc phốt thầy ác vậy ,negative
Mình có mấy cái đt cục gạch bạn N có thiếu gạch thì qua lấy để đủ xây tòa lâu đài nhé ,positive
sao cmt thiếu ta,neutral
Nguyễn Xuân Lê Chắc lịch kiếp nhầm chứ hồi xưa ở cái cung to bằng cả D5 D6,positive
Thùy Dương biết thế đặt theo dương là chung khoa với dương rồi	,negative
Nguyễn Thị Thùy Trang  nó lại hợp lí,positive
 thôi má người ta có chậu rồi ,positive
Nhung Lương ủa hơi tốn tiền là cq gì ,negative
Hiện tại đang cầu nguyện qua môn Mác vậy,positive
Trần Khánh bạn ơi ib t với Phạm phong thủy sao vậy ạ,neutral
Phan Quốc Thiều thầy ăn bao nhiêu cây kem thầy ơi ,positive
Năm sau thi lại vẫn chọn ngành này nhe em ,positive
Trịnh Trương Quốc Bảo bảo để liên hệ Khiết được hong,neutral
Duyên Thiên thân mến ,positive
Lo vl mấy ông ơi 25đ không biết vào được ktpm clc không nữa,negative
 ngu ngục ,negative
 love is in the air Chưa kể  nên được đề cử giải vô lăng vàng ,neutral
Ngọc Ý phải chi có ai kèm gt1 ha,positive
  Dung Nguyen chị em mình tim đi chị ơi,positive
Min Tho hí hí,positive
Võ Đoàn Hương Nhi chị ơi xéo sắc quá không có bồ nổi nha chị ,negative
ad fr noi chien vs minh nedân bk chính gốc d,neutral
Ế lắm rùi hay sao mà cứ vào BK kiếm zaj vậy trời,neutral
Nguyễn Minh ra xa đe mình kiếm chút chút	,neutral
  Trần Thị Ánh Sương bình tĩnh nha sis ,positive
Se Ho tớ hiểu ,positive
Nguyễn Quang Minh  ngủ đi ông ,neutral
Phốt Phát một cú chốt tuyệt vời ,positive
 lấy sách đạo đức cấp 1 hoặc kêu mấy em lớp 5 dạy lại đạo đức em nha	,negative
Ngô Cường học ở dĩ an ,neutral
Phan Tấn Trọng 200k đưa link đây,neutral
Long Mơ phòng em giờ đó đi chơi thể thao hết hơi đâu mà mở nhạc chị,negative
Đỗ Vũ Quỳnh Nhi t lôi m đi  dắt heo đi học,neutral
 ib tâm sự mỏng,positive
ủa  chổ sinh viên là Đinh Tùng Phong hả,neutral
Nguyễn Diễm Mới sáng ra,positive
Võ Tường Vy cháo gói,neutral
Chắc ăn sừng hay gì nên cay nè  Nhiễm đame mẽo à,negative
 Trần Trọng Đạt giải thích kìa anh tôu,neutral
KTX ĐHQG Confesions ước gì ktx cũng lk vcb luôn á ,neutral
Duyên Đặng nói phải giữ lời nhớ phải thương Hạnh nhiều vào,positive
11 Bạn ad mình nhé mình cũng CA ,positive
Dạ cho em hỏi gu mí bạn nam là gì vậy ạ Hỏi giùm cho mí bé k20,neutral
 BỐ ,neutral
Phan Ngọc Anh Thư hên mà e không như cái   không thôi bị phốt chết,positive
Chào cậu nha,positive
Hài lòng với chiều cao 1m695 của mình ,positive
Trân Châu cái quằn,negative
Thu Nguyệt chắc Thầy Cô cũng bận mong cho điểm nới nới để không bị kéo,positive
 thằng này là cháu Lênin rồi bạn êi,neutral
Gặp cô căn tin nha,neutral
Lê Thị Hồng Cúc  ai biết được  Đặng Trần Hồng Hà ,neutral
Chạy xe mà trời mưa không biết né kiểu gì,negative
 mình cũng chả biết 1 tí gì về tiếng Nhật đây hì ,neutral
Huyên Xuân m viết  đúng không ,neutral
 chơi gì gom cả trường chửi chung dị bạn ,negative
ké 1 slot,neutral
Thu Ngân ôm lap học onl 3 tuần xong ra nè m ,negative
Đinh Ngọc Minh Kha  2 clb nhạc hay đàn gì đó hoạt động cùng lúc ca 2 bài khác nhau ,positive
Nguyen T C Huong em phải cảm thấy hạnh phúc vì điều đó chứ ,positive
 anh có căn vinhome bên q9 giá ưu đãi cho sv UIT nhe ,positive
Bùi Thị Thu Huệ ngon chứ bộ h,positive
Nguyễn Đức Trọng khẩu nghiệp đến nhanh quá,negative
 Yên tâm trường mình an ninh tốt lắm,positive
Lê Thị Mộng Ngọc cái gì cũng có cái giá của nó cu nhỉ ,neutral
Hương Thu Hán Mai Hưng Nguyễn Văn Hiếu hok có cửa đâu à nhoa,negative
Kim Vy em trên kia xin sđt để ẻm nuôi kìa ,positive
Đình Thảo  qua học võ,neutral
Tuấn Cường  cớ sao mà Hưng thành ra như ,neutral
 Tín Duy Đào Trọng Tiến t nhớ bolero remix của Tín quá ,positive
Phương Anh Trần Ngọc có nha m Đứa cmt là 1 ví dụ,neutral
vad cũng bận đi tán các a khóa trên rùi em ơi  ,positive
Ân Nguyễn tại không muốn qtam nữa nên lấy lý do deadline thoy~,neutral
Kể mình nghe về Tuesday đi ,neutral
Trọng Khả m ghen ăn tức ở hay gì,negative
Trầm Trúc Anh 415 thì phải lúc này mình có xuống dưới sân ăn mừng không nhở ,positive
D có khi nào m ghi cái này cho t không á,neutral
Ngọc Lãm đoán như thần,positive
Thao Nguyen  ok hẹn ngay cục đá nha,positive
Lê Hoài Thương ủa chứ hong xỉu up xỉu down à,negative
Lạc Lạc  cem chúi hã,neutral
năm 3 vẫn đang coi shin cậu bé bút chì thì biết bao giờ mới có ny đây ,negative
Nguyễn Đức gáng cùng nhau đậu này,positive
Hồng Thảo mẹ m đó à đm,neutral
Ủa ủa ,neutral
 cha nào lên đây tự sướng thế,neutral
Thiện Trần kaka,positive
Thịnh Nguyễn Bửu mắt siêu thị mới thấy nha nha,positive
Minh Hoàng ủa thấy hả ,neutral
Phản biện gắt thế hahaha,positive
Ngon dị trời Diễm Quỳnh,positive
Phú Lộc vô đọc coi chơi,positive
Nhưtao không lên đâu,positive
Minh Hà Nguyễn  buồn cho nương nương ,negative
Tuan Anh ẻm muốn mấy chị thoát ế ,positive
Trần Thanh Tú 1 Được nha em đi chung và nộp hồ sơ chung là được,positive
Yên tâm biến thái nhất Quả đất cũng không dám đụng 2 người đâu,negative
về chuồng dùm,negative
Võ Tuấn Kiệt yes yes yes,positive
Công Phan ai nhỉ,neutral
Đào Thanh Huyền em nó đã trưởng thành rồi	,neutral
Chào mừng đến với khổ râm nhớ đừng phá chuông báo cháy nha mấy đứa ,positive
 Đinh Xuân Vũ t nói nó mặn ,neutral
Ai ngôn ngữ đức hong,neutral
 tui cũng vậy không biết trung là khi nào ,neutral
Trần Anh Chào bạn cùng ngành	,neutral
 Trung Pham Châu Khắc Đạt tự đổ ,neutral
Ai đồn mà đúng dữ dậy mà cũng thường thôi à,positive
Đắc Chung ơ Sao ta	,neutral
Hữu   là gì vậy ông cần tui tag vô hông,neutral
Cẩm Tiên ktx đại học sư phạm chào ktxđại học quốc gia,positive
Lê Thành Khôi nocnha hẹn chứ gì  mình nói z thui chứ bữa đó ra đg thì cẩu lương sấp mặt ,negative
SLibra Nguyễn nói mới biết không biết dãy F là ở mô luôn á,neutral
Các cháu nên tập làm quen với kiểu làm quan liêu đi,neutral
Lê Trung đứa lớp 6 đứa lớp 5,negative
Nghiên Tú Trịnh chắc chấp nhận số phận ,neutral
Thanh Thảng đứng trên đóng tiền là cao hết,positive
Đỗ Bảo tính tag lun,neutral
Trần Anh Tuân Nào thử nói xem tui còn nghe ra được không v	,neutral
các cậu đừng hãm hại mình ,negative
Đỗ Ngân ai lạ kì viết cfs cho Ngân thế kia,neutral
